"question","truth","falsehood","split"
"Mammals are either herbivores, carnivores or what?","omnivores","nematodes","train"
"Polygenic traits result in a distribution that resembles a curve.  what is the shape of the curve?","bell-shaped","W-shaped","train"
"Most plates are made up of a combination of what?","continental and oceanic lithosphere","oceanic and reflective lithosphere","train"
"Chromosomes further condensed in which stage?","diakinesis stage","tracheophyte stage","train"
"What weak base is applied as an agricultural fertilizer in its pure form and is diluted to make a household cleanser?","ammonia","vinegar","train"
"During the winter, production of what amine involved in the sleep-wake cycle may be affected by less sunlight hours?","melatonin","serotonin","train"
"What is the term for the small particles that rocks are worn down to by water and wind?","sediments","fragments","train"
"Physical properties are characteristics that describe what as it exists?","matter","imagination","train"
"What allows for a large and mature fetus before birth,  resulting from a long period of fetal growth in the uterus?","the placenta","the vagina","train"
"What type of bonds form only between metals and nonmetals?","ionic bonds","non-harmonic bonds","train"
"A system is said to be in stable equilibrium if, when displaced from equilibrium, it experiences a net force or torque in a direction opposite to the direction of the what?","displacement","velocity","train"
"What cycle completes the breakdown of glucose begun in glycolysis?","krebs","bacterium","train"
"What do we call the full range of electromagnetic waves?","electromagnetic spectrum","electromagnetic scale","train"
"What kind of light ranges from red to violet?","visible light","infrared light","train"
"All matter in the universe is composed of one or more unique pure substances called what?","elements","atoms","train"
"What are the smallest type of blood vessels?","capillaries","viens","train"
"Athletes such as swimmers and bicyclists wear body suits in competition to minimize what forces?","drag forces","natural forces","train"
"During strenuous exercise our muscles perform what kind of fermentation?","lactic acid","nitric acid","train"
"What force causes waves to topple over and break on the shore?","friction","momentum","train"
"What type of simple machine is a seesaw an example of?","lever","power","train"
"What part of a sample can be represented by the mean, median, and mode?","central tendency","present tendency","train"
"Arteries have thinner wall layers and valves and move blood by the action of skeletal what?","muscle","marrow","train"
"The fetal stage begins about how long after fertilization?","two months","one month","train"
"Which is the best way to maintain a strong, fit body?","a healthy diet","bodybuilding","train"
"Which system refers to the skin and its accessory structures?","integumentary system","digestive system","train"
"Since eddy currents and magnetic damping occur only in conductors, recycling centers can use these to separate metals from other materials?","magnets","particles","train"
"What is the matter through which sound waves travel?","medium","dust","train"
"Pressure is defined as the force per unit area on?","surface","weight","train"
"In contrast to mammals and birds, freshwater fishes produce large volumes of very dilute what?","urine","nitrogen","train"
"Where do living things obtain the energy to carry out all life processes?","food","fuel","train"
"What is another term for all eukaryotic organisms that are neither animals, nor plants, nor fungi?","protists","paramecium","train"
"Tissues of marine bony fishes gain what from their surroundings?","excess salts","toxins","train"
"When magma reaches the surface through cracks in the earth's crust, what occurs?","volcanic eruption","volcanic explosion","train"
"The peripheral nervous system consists of all the nerves that are found outside what?","central nervous system","large nervous system","train"
"Where is gabbro found?","oceanic crust","volcanoes","train"
"Mypyramid features colored bands that represent what?","food groups","caloric content","train"
"Which type of diseases do antibiotics treat?","bacterial diseases","genetic disorders","train"
"What is the loss of energy available to do work called?","entropy","negentropy","train"
"What do you call the gently sloped ocean floor nearest the edges of continents?","continental shelf","continental divide","train"
"What uses oxygen gas to break apart the carbon-hydrogen bonds in glucose and release their energy?","cellular respiration","electromagnetic respiration","train"
"Which human body system system moves nutrients and other substances throughout the body?","cardiovascular system","Digestive system","train"
"An elastic collision is one that conserves internal energy of what type?","kinetic","thermal","train"
"What term refers to an animal that sleeps during the day and is active at night?","nocturnal","diurnal","train"
"What do you call a period when temperatures are cooler than normal, causing glaciers to spread?","ice age","polar age","train"
"Every object is attracted to every other object by what force?","gravity","weight","train"
"What begins when an oogonium with the diploid number of chromosomes undergoes mitosis?","oogenesis","germination","train"
"What is the most abundant element in the universe?","hydrogen","carbon","train"
"If the electromagnetic repulsion between protons is greater than the strong nuclear force of attraction between them, what do they become?","unstable, or radioactive","unstable , or experimental","train"
"What disease, caused by vitamin c deficiency, causes bleeding gums, nosebleeds, and other symptoms?","scurvy","rickets","train"
"What type of waves are the slowest of all seismic waves?","surface waves","core waves","train"
"What are the two types of optical telescopes?","reflecting and refracting","reflecting and recapitulating","train"
"What can be hard or even impossible to perform in a scientific sense?","experiments","hypothesises","train"
"Normally, only traces of protein are found in urine, and when higher amounts are found, damage to what is the likely cause?","glomeruli","Hypothyroid","train"
"What is the nickname of the best-known geyser in the world, which erupts reliably every 90 minutes?","old faithful","old energetic","train"
"The two general types of reproduction are sexual and what?","asexual","primitive","train"
"Acid rain is corrosive rain caused by rainwater falling to the ground through which gas?","sulfur dioxide","sulfide dioxide","train"
"If the experimental value is less than the accepted value, the error is what?","negative","positive","train"
"According to which process, sublevels and orbitals are filled with electrons in order of increasing energy?","aufbau","Schrodinger's cat","train"
"The roughness of interacting surfaces and the magnitude of force pushing one object onto another are two factors related to what force?","friction","energy","train"
"How many types of leptons are there?","six","nine","train"
"Plants, algae and bacteria are all examples of what type of organism?","photosynthetic","microbes","train"
"What forms after air cools below its dew point?","fog","sleet","train"
"In hornworts, the horns are the sporophytes that rise up from what?","the leaflike gametophyte","the roots","train"
"What generally sets the direction that technology takes?","problems of society","local animals","train"
"Living things that feed on others are generally known as what?","consumers","customers","train"
"What is an isotope that is radioactive called?","radioisotopes","isotopes","train"
"What is a compound that can form ions when it dissolves in water called?","electrolyte","sulfate","train"
"When using a generator, we are transforming what energy into what energy?","kinetic into electrical","magnetic into kinetic","train"
"What kind of resource is soil?","renewable","nonrenewable","train"
"What is the term for the stalk connecting a leaf to a stem?","petiole","cuticle","train"
"What are the specialized cells within the brain called?","neurons","ions","train"
"What stimulates the production of milk by the mammary glands following childbirth?","prolactin","progesterone","train"
"In vascular plants, the sporophyte generation is what?","dominant","non-existant","train"
"What organ system transports blood through the body and to and from the lungs?","circulatory","metabolism","train"
"""cardio"" has become slang for what type of exercise that raises your heart rate for an extended amount of time?","aerobic","cyclical","train"
"How many protons do all atoms of a particular element have in their nuclei?","same number","varying number","train"
"Copper oxide is a result of what two substances mixing?","copper and oxygen","copper and gas","train"
"The process of getting oxygen into the body and releasing carbon dioxide is called?","respiration","osmosis","train"
"Someone who believes something despite the evidence is referred to by what term that references a false belief about our planet?","flat-earther","geocentric-earther","train"
"Each myofibril is made up of two types of proteins, called actin and what?","myosin","dynein","train"
"What do you call the movement of a substance from an area of a higher amount toward an area of lower amount?","diffusion","filtration","train"
"What phase exists when all the water in a container has physical properties intermediate between those of the gaseous and liquid states?","supercritical fluid","stationary fluid","train"
"What type of plant keeps it green leaves year-round?","evergreen plant","deciduous","train"
"What is the net force when two forces act in the same direction?","sum of the forces","number of the forces","train"
"What hypothesis states that the biosphere is its own living organism","the gaia hypothesis","the seager hypothesis","train"
"The planet neptune has strange dark spots that sometimes appear on its surface?  what are these spots?","storms","seas","train"
"The thalamus acts as a gateway to and from what?","cortex","pons","train"
"When describing motion, what factor is just as important as distance?","direction","momentum","train"
"What often relies on cooperation between the motor and autonomic nervous systems?","homeostasis","ketosis","train"
"What nerves are connected to the spinal cord?","spinal nerves","primary nerves","train"
"Where do all cells come from?","pre-existing cells","large cells","train"
"What is the term for learning from past experiences and reasoning?","insight learning","logical learning","train"
"Science is the process of knowing about the natural universe through observation and this?","experiment","Test","train"
"What are reactions that can occur only in one direction called?","irreversible","permanent","train"
"What are long chains of amino acids?","proteins","lipids","train"
"What is the diffusion of water molecules across a semipermeable membrane?","osmosis","organelle motion","train"
"What forms when there is a difference in temperature between the land and the air?","fog","smoke","train"
"What domain-level category of cells can contain more than 1000 times the dna found in a typical bacterial cell?","eukaryotic","chromosomes","train"
"What gas is released by burning of fossil fuels and contributes to global warming?","carbon dioxide","nitrous oxide","train"
"A major disturbance in what results in an episode of severe weather called a storm?","the atmosphere","the oceans","train"
"Bone marrow, the thymus gland, the spleen, and the tonsils are organs in what body system?","immune system","skeletal system","train"
"What term refers to the balance, or equilibrium, within the cell or a body, and an organism’s ability to keep a constant internal environment?","homeostasis","metabolism","train"
"Atoms of different elements can combine in simple whole number ratios to form what?","chemical compounds","mixtures","train"
"What blood component serves both structural and molecular functions in blood clotting?","platelets","molecules","train"
"What type of reproduction begins when an egg and sperm combine?","sexual reproduction","natural reproduction","train"
"What happened to chemical reactions when temperature increases?","it became faster","it slows down for a short time then speeds up","train"
"Extrusive igneous rocks are also called what?","volcanic rocks","metamorphic","train"
"What gems are created by mollusks, such as oysters?","pearls","crystals","train"
"When the sun is below the horizon and thus not visible on a direct line, the light path will bend slightly and thus make the sun visible by what?","refraction","reflection","train"
"Deer ticks are the vectors for what disease that affects humans?","lyme disease","dengue fever","train"
"A highway that switches back and forth as it climbs up a steep hillside, yeilding a much gentler slope, is an example of what simple machine?","inclined plane","lever","train"
"The loss of too much blood may lead to shock of what system?","circulatory","heart","train"
"What is the tectonic zone called where two plates come together?","convergent boundary","precursors boundary","train"
"The mild oxidation of thiols gives compounds called what?","disulfides","carbonates","train"
"What is the structure in a diploid sporophyte that undergoes meiosis to form haploid spores?","sporangium","hymenium","train"
"Gene expression and what else are usually considered the same molecular process?","protein synthesis","photosynthesis","train"
"Centipedes have what on their foremost trunk segment, used to paralyze prey and aid in defense?","poison claws","board claws","train"
"What paired organs together receive about 25 percent of cardiac output and are protected in the retroperitoneal space by the renal fat pad and overlying ribs and muscle?","kidneys","hands","train"
"The diversity of life on earth today is the result of what?","evolution","spontaneous mutation","train"
"In science, coefficients are used to balance what kind of equations?","chemical","liquid","train"
"What connection is required for a newborn baby to begin breathing?","connection to the placenta","connection to a heat source","train"
"How is population density expressed?","number per area","per arable land","train"
"Type 1 diabetes results in the  pancreas not being able to make what ?","insulin","hemoglobin","train"
"Photosynthesis produces oxygen as a byproduct, and respiration produces what as a byproduct?","carbon dioxide","carbon monoxide","train"
"Volcanoes are termed active, dormant, or extinct depending on the possibility of the presence of what in chamber structures?","magma","coal","train"
"Ciliary muscles control the shape of the lens, which bends light and focuses it on what?","the retina","the pupil","train"
"Convection in which part of the earth drives the movement of the plates of lithosphere over the earth’s surface?","mantle","atmosphere","train"
"Simple eyes, like the human eye, have how many lenses?","one","two","train"
"What are the most advanced group of seedless vascular plants called?","ferns","shrubs","train"
"What is a rigid layer that surrounds the plasma membrane of a plant cell?","the cell wall","the nucleic wall","train"
"A tropism where light is the stimulus is known as what?","phototropism","Geotropism","train"
"What is transmitted that makes up the electromagnetic spectrum?","electromagnetic radiation in different wavelengths","gamma rays","train"
"What artificial process involves making an exact copy of a gene?","gene cloning","material cloning","train"
"What are the cells or structures that detect sensations?","receptors","hormones","train"
"Electromagnetic radiation is a form of what?","energy","fusion","train"
"What occurs when two waves combine and cancel each other out?","destructive interference","terrible interference","train"
"The release of an egg from an ovary, is part of what cycle?","menstrual","life","train"
"Which part of the body shows does horner's syndrome affect?","one eye","the nose","train"
"In which way to vertebrates reproduces?","sexually","anally","train"
"What contains more calcium than any other organ?","bones","fingernails","train"
"One of the main features all vetebrates have in common is what?","backbone","hard shell","train"
"Cytoplasmic determinants are distributed how in unfertilized eggs?","unevenly","evenly","train"
"What relatively new addition to and highest level of the system of taxonomic classification includes just three divisions, the eukarya, the archaea, and the bacteria?","domain","content","train"
"What is only effective if ventilation is matched to blood flow through alveolar capillaries?","breathing control","iron lung","train"
"What sprouts up on stalks from the bed of moss gametophytes?","sporophytes","fibroblasts","train"
"Like all chordates, vertebrates are animals with four defining traits, at least during which stage?","embryonic","pupal","train"
"What occurs when the crests of one wave overlap the troughs, or lowest points, of another wave?","destructive interference","harmful interference","train"
"The name of the cation comes first, followed by the name of the anion, in what kind of compound?","ionic compound","magnetic compound","train"
"What system in both males and females consists of structures that produce reproductive cells, or gametes, and secrete sex hormone?","reproductive","circulatory system","train"
"What type of creature is noted for having its eyes at the tips of stalks or tentacles that emerge from its head?","gastropods","corals","train"
"What were the first animals to have true lungs and limbs for life on land?","amphibians","birds","train"
"What do they call 2,2,4-trimethylpentane in the gasoline industry?","isooctane","spirogyra","train"
"What do we call any way that animals act, either alone or with other animals.","animal behavior","typical behavior","train"
"When waves of two different frequencies interfere, what phenomenon occurs?","beating","making","train"
"Further transformation occurs during organogenesis, the formation of what?","organs","arteries","train"
"Each antibody can bind with just one specific type of what, resulting in a signal for a phagocyte to destroy them?","antigen","pathogen","train"
"What kind of surface temperature is found on venus?","extremely high","a little hot","train"
"What type of resource is limited in supply and cannot be replaced except over millions of years?","natural resource","capital resources","train"
"Rust is an example of the reaction of oxygen with what?","iron","fuel","train"
"What term describes a drug that has an effect on the central nervous system?","psychoactive drug","nonaddictive drug","train"
"John dalton thought that what unit, which means ""indivisible"", could not be divided into smaller, simpler particles?","atom","electron","train"
"What is the physical area where a specie lives?","habitat","marine biome","train"
"What does the color of soil indicate?","fertility","temperature","train"
"What kind of charge does a neutron have?","neutral","positive","train"
"But a point mutation can also change a codon for an amino acid into a what?","stop codon","axon","train"
"The location of an object in a frame of reference is called what?","position","fact","train"
"What kind of change causes evolution in population?","allele frequency changes","morphogenesis frequency changes","train"
"What type of lipids contain the element phosphorus, carbon, hydrogen and oxygen?","phospholipids","filaments","train"
"Photosynthesis requires light, water and what else?","carbon dioxide","seasons","train"
"Tropical rainforest, temperate grassland, and tundra are examples of what type of biomes?","terrestrial","atmospheric","train"
"What is described by the concentration of hydrogen ions in a solution?","ph","neutrality","train"
"Which theory states that all organisms are composed of one or more cells, the cell is the basic unit of life, and new cells arise from existing cells?","unified cell theory","theory of evolution","train"
"Light retains its original color under water because what remains the same when light is refracted?","frequency","wave length","train"
"What are interferons?","cytokines","T cells","train"
"What is the air that remains after a forced exhalation called?","residual volume","kinetic volume","train"
"What is the term for a gas that completely abides by the kinetic-molecular theory?","ideal gas","heat gas","train"
"What is required to partially overcome the attractive forces between molecules in a solid to form a liquid?","energy","fuel","train"
"Cephalochordates have a notochord and nerve cord but not a?","backbone","digestive system","train"
"Name the physicist who discovered radioactivity?","antoine henri becquerel","louis pasteur","train"
"Researchers have identified the receptor proteins for all of the tastes except which?","salty","sweet","train"
"What has high surface tension because of extensive hydrogen bonding?","water","hydrocarbons","train"
"Where are sponges most likely anchored to?","reef or rock","sea floor","train"
"What do jellyfish use to startle predators?","visible light","black light","train"
"What do corals secrete that builds up to become a coral reef?","exoskeleton","membrane","train"
"What layer covers the bones that make them look tough, shiny, and white?","periosteum","epithelium","train"
"What is the generation of electricity using photovoltaic cells to split water molecules called?","photoelectrolysis","hybrid electricity","train"
"What is the  only marsupial in north america?","oppossum","Raccoon","train"
"Different forms of the same element are called what?","allotropes","subclasses","train"
"What is the apparatus used for carrying out an electrolysis reaction called?","electrolytic cell","fluorescent cell","train"
"Where does most geologic activity take place?","plate boundaries","outer core","train"
"What type of winds move the same way as mountain and valley breezes?","katabatic winds","pyroclastic winds","train"
"What is the term for the length of the route between two points?","distance","area","train"
"An individual with down's syndrome has 47 of what instead of the normal 46?","chromosomes","ribosomes","train"
"Where is the fruiting body normally produced in relation to the food source?","at the surface","at the root","train"
"What is the largest of the sinuses?","superior sagittal sinus","Maxillary sinus","train"
"As the temperature of water decreases what happens to the speed of the water molecules?","slow down","move faster","train"
"Amines are weak bases due to the presence of a lone pair of what on the nitrogen atom?","electrons","protons","train"
"Muscle groups are controlled by what mechanism?","motor cortex","activation energy","train"
"Deficiency of what mineral causes bones to become porous and weak?","calcium","potassium","train"
"After what life stage does the fusion inside a star end?","red giant","blue giant","train"
"What theory brings together continental drift and seafloor spreading?","theory of plate tectonics","theory of order tectonics","train"
"What color is neptune?","blue","yellow","train"
"What is it called when large objects are broken down into smaller pieces?","weathering","decay","train"
"What is the term for species in symbiotic relationships evolving together?","coevolution","innervation","train"
"Hemoglobin, with four polypeptide chains or subunits, is the most frequently cited example of a protein having what kind of structure?","quaternary","binary","train"
"What causes blood vessels to grow toward the tumour in cancer cells?","signaling molecules","harnessing molecules","train"
"What is igneous rock created from?","magma cooling","magma aging","train"
"What is the exchange of gases between the body and outside air?","respiration","metabolism","train"
"What type of metal is a good conductor of electricity?","copper","Tin","train"
"What is the study of ecosystems?","ecology","physics","train"
"Where do sperm go after leaving the testicles and before entering the vas deferens?","epididymis","clitoris","train"
"Which cells continue the digestion and absorption of nutrients and transport these nutrients to the lymphatic and circulatory systems?","epithelial cells","myocyte","train"
"What do body cells use for energy?","sugars","chlorophyll","train"
"Cancer occurs most often in adults over what age?","fifty","twenty","train"
"Which acid releases nitrates into soil?","uric","citric","train"
"What asymmetrical organ has four chambers and, in humans, is about the size of a clenched fist?","heart","brain","train"
"Geiger counters can be used to detect what, in general?","radiation","seismic load","train"
"What term is used to describe the energy of matter in motion?","kinetic energy","frictional energy","train"
"What do you call the illness that occurs when harmful bacteria enter the digestive system in food?","food poisoning","bacteria poisoning","train"
"Herbivores and omnivores have longer alimentary canals compared to what?","carnivores","arthropods","train"
"What do tadpoles turn into?","frogs","insects","train"
"The heat capacity of an object depends on its chemical composition and what other property?","mass","volume","train"
"Human skin color is primarily due to the presence of what pigment in the skin?","melanin","tannin","train"
"The various sensory organs are part of what organ system?","nervous","digestive","train"
"Down syndrome is caused by having three copies of what, a condition known as trisomy?","chromosome","genome","train"
"What kind of weathering changes the size of a mineral or rock but does not change its chemical composition?","mechanical weathering","molecular weathering","train"
"What do waves do when they are unable to pass through an object?","reflect off","produce off","train"
"What is used to date older fossils?","radioactive isotopes","search engines","train"
"What external feature in human beings is responsible for balance?","ears","tails","train"
"What branch of science is the study of human origins?","paleoanthropology","biology","train"
"Skeletal muscle cells and cardiac muscle cells share what property, which is not shared by smooth muscle cells?","striations","surfaces","train"
"Latitude affects the amount of what received by an area, which in turn affects the temperature of a region?","solar radiation","chemical radiation","train"
"What do you call an abnormal mass formed when cells divide uncontrollably?","tumor","inflammation","train"
"What layer is below the lithosphere and in the upper mantle?","asthenosphere","troposphere","train"
"What are lipopolysaccharide components of the outer membrane of gram-negative bacteria?","endotoxins","hormones","train"
"In aquatic communities, the main producers are photosynthetic protists and what?","prokaryotes","arthropods","train"
"How does the liquid in a thermometer respond to heat or cold?","expands or contracts","freezes or boils","train"
"In most fish, where does the embryo develop in relation to the mother's body?","outside","Eggs","train"
"What instrument made it possible to study pressure quantitatively?","barometer","anemometer","train"
"What is the name for electrons closer to the nucleus that do not participate in bonding?","core electrons","surface electrons","train"
"What force pulls people and objects toward the center of the earth?","gravity","magnetism","train"
"What happens when antibodies are transferred to a person who has never been exposed to the pathogen?","passive immunity","acquired immunity","train"
"Parasitic leeches feed off of what?","blood","brain","train"
"The mars rover collected round clumps of crystals that, on earth, usually form in what?","water","rocks","train"
"Attraction of a material by a magnet is an example of what type of property?","physical","thermal","train"
"What phenomenon is essential in order for evolution to occur because it increases genetic variation and the potential for individuals to differ?","mutation","radiation","train"
"The two types of glaciers are continental and what other kind?","valley","rolling","train"
"In dioecious animals, females generally produce what contribution to reproduction?","eggs","milk","train"
"The cells of all protists have a what?","nucleus","argon","train"
"What type of organism causes many common diseases such as strep throat and food-borne illnesses?","bacteria","prion","train"
"What type of current do generators in cars use?","alternating current","magnum current","train"
"What is the movement of plates called?","plate tectonics","fracking","train"
"Name a carbonyl in which the carbon atom is bonded to one carbon atom and one hydrogen atom (or two hydrogen atoms).","aldehyde","ketone","train"
"The color of an object is determined by the what of it's reflected light?","wavelength","luminosity","train"
"The process in which dna is copied is called what?","dna replication","dna transfer","train"
"What type of seismic waves do the most damage?","surface","gravity","train"
"Which continent is the only one that reptiles don't inhabit?","antartica","Africa","train"
"What is responsible for the foul smell of rancid butt?","butyric acid","Fatty Acid","train"
"The carbon cycle can be thought of in terms of two interdependent cycles - cellular respiration and what else?","photosynthesis","glycolysis","train"
"What is the term for the green pigment in leaves that captures energy from the sun?","chlorophyll","carbonate","train"
"Evolutionary adaptation is evidenced by different shapes of what structures in birds with different food preferences?","beaks","claws","train"
"Amino acids contain both a carboxylic acid group and what other group?","amine","lipid","train"
"What is an alloy of both tin and copper?","bronze","Cobalt","train"
"What is the option to remove kidney stones other than surgery?","ultrasound treatments","pump treatments","train"
"What does a theory need to be supported by?","many observations","facts","train"
"What is the name of the life stage when a child becomes sexually mature?","puberty","adolescence","train"
"Cytokinesis divides what part of the cell into two distinctive cells?","cytoplasm","DNA","train"
"What is it called when a liquid displays more attraction between the liquid particles than attraction between the liquid and the glass?","cohesion","tension","train"
"In what type of mining must tunnels be blasted into the rock so that miners and equipment can get to the ore?","underground mining","open-pit mining","train"
"What is another term for dry ice?","solid carbon dioxide","liquid nitrogen","train"
"Name the process that produces many copies of a certain gene.","gene cloning","gene diversion","train"
"Rupture or blockage of arteries in the head is the usual cause of what condition?","stroke","heart disease","train"
"What type of lines run next to each other?","contour lines","perpendicular lines","train"
"What type of light sensing organs do scaophopoda have?","radula","cilia","train"
"What kind of cleavage do mammalian eggs exhibit?","holoblastic","cocklebur","train"
"What is the name of the process for delivering water to crops?","irrigation","drainage","train"
"What is the process in which a liquid boils and changes to a gas?","vaporization","sublimation","train"
"What are the two most common common ways that brain and spinal cord injuries occur?","car crashes and athletic activities","falls and surgical error","train"
"What is the largest planet in the solar system?","jupiter","saturn","train"
"What are elements required in very small amounts?","micronutrients","pollutants","train"
"What can be calculated by multiplying an object’s mass in kilograms (kg) by its velocity in meters per second (m/s)?","momentum","energy","train"
"What will happen to a rock when it's under tremendous stress?","it will fracture","it will slow","train"
"Very large stars eventually become what extremely dense space regions, which are so dense that no light can escape from them?","black holes","worm holes","train"
"Which theory suggests plant species richness increases with island size?","island equilibrium model","island biology model","train"
"What state of hydrogen can be predicted based on the atoms to which it is bonded?","oxidation","condensation","train"
"What occurs when there is little to no rain in a period of time?","droughts","pollution","train"
"At any specific time, the rate at which a reaction is proceeding is known as its what?","instantaneous rate","spontaneous rate","train"
"The skin is a familiar organ made of what kind of tissue?","epithelial tissue","innate tissue","train"
"Evolution that occurs over a short period of time is known as what?","microevolution","short term evolution","train"
"What do osteoblasts secrete that mineralizes to become bone matrix?","collagen","spongin","train"
"Atoms that have gained electrons and become negatively charged are called what?","negative ions","negative atoms","train"
"Snakes are which type of animal?","carnivorous","vegivors","train"
"Besides the uppermost mantle, what else is the lithosphere composed of?","crust","surface","train"
"How many pairs of legs do arachnids have?","4","8","train"
"What increases in processes in which solid or liquid reactants form gaseous products and when solid reactants form liquid products?","entropy","evaporation","train"
"What is an example of a metaloid element?","silicon","argon","train"
"What kind of energy is released when the thermochemical reaction of a campfire converts wood to carbon dioxide and water?","heat","ultraviolet","train"
"Like the mitochondria, chloroplasts have their own dna and ribosomes, but chloroplasts have an entirely different function. chloroplasts are plant cell organelles that carry out what?","photosynthesis","reproduction","train"
"While normal light microscopes can magnify objects up to about 1,500 times, what advanced instruments can magnify objects up to 1,000,000 times?","electron microscopes","magnetic microscopes","train"
"What kind of energy does pyruvate have a lot of?","chemical","thermal","train"
"What type of landscape has grasslands with scattered trees, are hot and have extensive dry seasons along with fire?","savannas","deserts","train"
"What may be lost when waves travel through matter, but not when they travel through space?","energy","matter","train"
"Where does mechanical digestion begin?","mouth","intestines","train"
"How does the sun generate energy?","nuclear fusion","atomic division","train"
"What stored form of energy is made up of glycerol and three fatty acid chains?","triglycerides","hydrocarbons","train"
"What do jellyfish give off to startle possible predators?","light","energy","train"
"Scientists use a quantity called __________ as a measure of disorder, or randomness.","entropy","chance level","train"
"What are ring-shaped hydrocarbons called?","cyclic hydrocarbons","reverse hydrocarbons","train"
"Niche refers to the role a species plays in what?","the ecosystem","the habitat","train"
"An irreversible increase in size is known as?","growth","mass","train"
"Bacterial contamination of foods can lead to digestive problems, an illness known as what?","food poisoning","acid reflux","train"
"All combustion reactions are what type of reactions?","exothermic","flammable","train"
"What produces microspores that develop into pollen grains containing male gametophytes?","stamens","stems","train"
"When a star's core collapses inward while the outer layers spread and cool, what ""colorful"" celestial body forms?","red giant","blue giant","train"
"Timber, obtained from trees that can be replanted to replace those that are cut down, is an example of what type of resource?","renewable","nonrenewable","train"
"What type of blood does the right side of the heart collect and then pump to the lungs?","oxygen-poor blood","nitrogen-rich blood","train"
"What elements have the highest attraction for electrons?","nonmetals","gases","train"
"What is the layman's term for mammals raising their hair with tiny muscles in the skin, something that is automatic in humans sensing cold?","goosebumps","spine tingling","train"
"What part of the body do hookworms infest?","intestines","lungs","train"
"Monatomic cations have the same name as their parent element. what happens to monatomic anions?","ends in - de","ends in - se","train"
"In addition to insects, what large invertebrate phylum includes animals such as spiders, centipedes, and lobsters?","arthropoda","onychophora","train"
"What is categorized by the forces holding the individual atoms, ions, or molecules together?","solids","gases","train"
"What do light emitters do to what you see?","add frequencies","divide frequencies","train"
"A turbine using tides in the ocean can create what type of energy?","electricity","conversion","train"
"The atomic number is the same as the number of what in an atom?","protons","neutrons","train"
"What is the closed circulatory system of humans and other vertebrates called?","cardiovascular system","digestive system","train"
"""red-shift"" refers to a shift toward red in the spectrum from what celestial bodies?","stars","galaxies","train"
"What is the name for substances with a ph above 7?","bases","acid","train"
"The subducting oceanic plate does what as it reenters the mantle?","melts","evaporates","train"
"Which stage of development is a period during which apoptosis is widespread and plays a crucial role?","embryonic","puberty","train"
"What orifice in the body is particularly helpful in both digestion and respiration?","mouth","nostril","train"
"What subphylum, which includes crabs and crayfish, represents the dominant aquatic arthropods?","crustaceans","arachnids","train"
"What do neurons pass to the next neuron?","neurotransmitters","contaminants","train"
"What determines which type of precipitation falls in the atmosphere?","air temperature","air density","train"
"The main functions of what complex carbohydrates are to store energy and form structural tissues?","polysaccharides","polypeptides","train"
"High consumption of saturated fats is linked to an increased risk of what disease?","cardiovascular disease","pulmonary edema","train"
"What does hair get its color from?","melanin pigments","elasticity pigments","train"
"What type of animal in the sea spend most of their lives as medusae?","jellyfish","fish","train"
"Desert plants have evolved processes to conserve water and deal with harsh conditions. a more efficient use of co2 allows plants to adapt to living with what?","less water","less competition","train"
"Plants, cyanobacteria, and algae are living things that undergo what process and produce glucose?","photosynthesis","cellular respiration","train"
"All chemical changes involve a transfer of what?","energy","heating","train"
"What is the unique larval form of mollusks called?","trochophore","scallop","train"
"A voltage source and a conductor are common to all what?","electric circuits","magnets","train"
"Root systems are mainly of two types. dicots have a tap root system, while monocots have a what?","fibrous root system","long root system","train"
"Enzymes in cellular reactions work to do what to the reaction?","speed it up","increase yield","train"
"The heart contracts rhythmically to pump what to the lungs and the rest of the body?","blood","Bile","train"
"When light strikes the rods and cones, they hyperpolarize, shutting off their release of what?","glutamate","enzyme","train"
"What term describes anything that occupies space and has mass, and is generally divided into three states?","matter","stuff","train"
"The benthic zone is found at the bottom of all of what type of biomes?","aquatic","well","train"
"The rate of decay of carbon-14 does what over time?","remains stable","becomes unstable","train"
"What behavior includes all the ways that animals interact with each other and the environment?","animal behavior","adaptation","train"
"Food chains carry energy from what group to what group?","producers to consumers","consumers to producers","train"
"What are professionals in technology are generally called ?","engineers","scientists","train"
"What force occurs whenever two surfaces come into contact?","friction","tension","train"
"The anatomy of primate eyes shows they tend to rely more on vision than what sense, which is dominant in many other mammals?","smell","taste","train"
"What are sensory cells?","specialized neurons or epithelial cells","specialized epithelial or squirm cells","train"
"What is it called when waves interact with other waves?","wave interference","combination interference","train"
"What is the ph level for pure water?","ph of 7","ph of 6.47","train"
"What is vital for nervous system functions that include muscle stimulation, memory formation, and learning?","acetylcholine","thiamine","train"
"The hydroxyl radical is highly reactive because it has what?","unpaired electron","unpaired neutron","train"
"Organic substances, including proteins, carbohydrates, and oils, contain what element?","carbon","oxygen","train"
"Gametes swim with the aid of what structure to the female gametangium, and fertilization ensues?","flagella","oocyte","train"
"A phospholipid is a bond between the glycerol component of a lipid and what else?","phosphorous molecule","chlorine molecule","train"
"What connects the fetus to the placenta?","umbilical cord","womb","train"
"In desert cactus, thorns that protect the water held in a large, barrel-shaped stem are an example of what?","adaptation","feature","train"
"What are the most common dietary lipids?","triglycerides","phospholipids","train"
"What process is the opposite of fusion and releases energy only when heavy nuclei are split?","fission","activation","train"
